,name,productUrl,originalPrice,price,discount,ratingScore,review,inStock,location,image,Seller Name,Brand Name,Seller Id,Item Id,unique,Dublicates
2912,"Limon Bathroom Set  Soap Dispenser, Toothbrush Holder, Tumbler Cup, Soap Dish, Trash Can, Toilet Brush with Holder, 6 Piece",www.daraz.pk/products/limon-bathroom-set-soap-dispenser-toothbrush-holder-tumbler-cup-soap-dish-trash-can-toilet-brush-with-holder-6-piece-i152408613-s1316960009.html?search=1,8000,5400,-0.33,5,1,TRUE,Pakistan,https://static-01.daraz.pk/p/ee770a0721e8e23bb02f18d5f7ae16d1.png,Flash Mart,Flash mart,1114379,152408613,152408613,
2917,180Kg A&D Medical UC-502  Tempered Glass Personal High Accuracy Digital Step-On Technology Body Health Weight Scale / Electronic Weighing Machine,www.daraz.pk/products/180kg-ad-medical-uc-502-tempered-glass-personal-high-accuracy-digital-step-on-technology-body-health-weight-scale-electronic-weighing-machine-i151876674-s1316220137.html?search=1,6000,2849,-0.53,5,2,TRUE,Pakistan,https://static-01.daraz.pk/p/4daf51edb42f27685cf95832bc242168.jpg,Advance Shopping,A&D Medical,1020018,151876674,151876674,
2906,Camry Slim Glass Electronic Digital Portable Bath Bathroom Body Weight Scale Machine ( 150 ),www.daraz.pk/products/camry-slim-glass-electronic-digital-portable-bath-bathroom-body-weight-scale-machine-150-i153412926-s1318174649.html?search=1,3499,2429,-0.31,5,1,TRUE,Pakistan,https://static-01.daraz.pk/p/cdc28262dfd72e0635fee93f747bfb48.jpg,W A & COMPANY,WAC COMPANY,1143604,153412926,153412926,
2894,Camry Slim Glass Electronic Digital Portable Bath Bathroom Body Weight Scale Machine ( 150 ),www.daraz.pk/products/camry-slim-glass-electronic-digital-portable-bath-bathroom-body-weight-scale-machine-150-i155198164-s1320676258.html?search=1,3499,2399,-0.31,5,1,TRUE,Pakistan,https://static-01.daraz.pk/p/d7df46ba18416998a7ac139215f60473.jpg,Get Mobiles,Get mobile,1109884,155198164,155198164,
2909,Touchless Automatic Infrared Sensing Foam Soap Dispenser IR Sensor Liquid Hands-Free Wash Dispensor For Kitchen Bathroom,www.daraz.pk/products/touchless-automatic-infrared-sensing-foam-soap-dispenser-ir-sensor-liquid-hands-free-wash-dispensor-for-kitchen-bathroom-i153070405-s1317734935.html?search=1,,2300,,5,1,TRUE,Pakistan,https://static-01.daraz.pk/p/e806f5a40bbf2b25e3b1329937e00384.jpg,DM store,DM Store,6.00501E+12,153070405,153070405,
2915,Camry Electronic Personal Scale - 180 Kg / 400 lb - division 0.1 Kg / 0.2 Lb,www.daraz.pk/products/camry-electronic-personal-scale-180-kg-400-lb-division-01-kg-02-lb-i152008918-s1316412416.html?search=1,3500,2199,-0.37,5,1,TRUE,Pakistan,https://static-01.daraz.pk/p/6b64c2d90b488e763a975e0a86810f26.jpg,The house of goods,M Salers,6.00501E+12,152008918,152008918,
2989,Towel Set 8 Piece 2 Bath Towels 2 Hand Towels and 4 Washcloths,www.daraz.pk/products/towel-set-8-piece-2-bath-towels-2-hand-towels-and-4-washcloths-i146692037-s1309596655.html?search=1,2499,2078,-0.17,4,1,TRUE,Pakistan,https://static-01.daraz.pk/p/5bd22edee9ee13f5734df1f8e3243507.jpg,Utopia Basics,Utopia,6.00501E+12,146692037,146692037,
1839,Glass Corner Shelf Shower Caddy 2 Tier Aluminum,www.daraz.pk/products/glass-corner-shelf-shower-caddy-2-tier-aluminum-i121654521-s1277528980.html?search=1,3000,1999,-0.33,5,1,TRUE,Pakistan,https://static-01.daraz.pk/p/3243185ddaed29612badbb76a05a6ca5.jpg,Dhansu (Karachi),Dhansu,21313,121654521,121654521,
2913,Glass Electronic Personal Scale - Tempered Glass - 150 Kg - 100 g division,www.daraz.pk/products/glass-electronic-personal-scale-tempered-glass-150-kg-100-g-division-i152016745-s1316426423.html?search=1,2199,1989,-0.1,5,1,TRUE,Pakistan,https://static-01.daraz.pk/p/eb136eedb83fab306873f784c4920e01.jpg,The house of goods,M Salers,6.00501E+12,152016745,152016745,
1838,Certeza GS 808 - Digital Body Weight Glass Scale -Weight Machine - Bathroom Scale (White),www.daraz.pk/products/certeza-gs-808-digital-body-weight-glass-scale-weight-machine-bathroom-scale-white-i1482114-s9249186.html?search=1,,1800,,4.74684,79,TRUE,Pakistan,https://static-01.daraz.pk/p/105b6f3c5fbc301f02f92ab01fc2ace4.png,RHS International (Karachi),Certeza,2431,1482114,1482114,
